rsvp_no,time,institution,status
328,2019-04-02 10:08:00,NYU,Checked In
329,2019-04-02 10:15:00,Einstein,Checked In
330,2019-04-02 10:17:00,Einstein,Attending
331,2019-04-02 10:26:00,Einstein,Attending
332,2019-04-02 10:30:00,CUNY,Attending
333,2019-04-02 10:59:00,Mount Sinai,Attending
334,2019-04-02 11:16:00,Einstein,Attending
335,2019-04-02 11:22:00,Columbia,Checked In
339,2019-04-02 11:42:00,NYU,Attending
340,2019-04-02 12:45:00,CUNY,Attending
341,2019-04-02 12:47:00,Mount Sinai,Attending
342,2019-04-02 13:12:00,Other,Checked In
343,2019-04-02 14:12:00,MSKCC,Attending
344,2019-04-02 14:48:00,NYU,Attending
345,2019-04-02 14:50:00,NYU,Attending
346,2019-04-02 15:04:00,NYU,Attending
347,2019-04-02 15:27:00,Mount Sinai,Checked In
348,2019-04-02 17:01:00,NYU,Attending
349,2019-04-02 17:23:00,Non-academic Institution,Checked In
350,2019-04-02 18:41:00,Mount Sinai,Attending
351,2019-04-02 19:24:00,Mount Sinai,Attending
352,2019-04-02 19:39:00,Columbia,Attending
353,2019-04-02 20:29:00,Mount Sinai,Checked In
354,2019-04-02 22:36:00,Other,Attending
355,2019-04-02 23:44:00,Columbia,Attending
356,2019-04-03 00:12:00,Rutgers,Attending
357,2019-04-03 00:14:00,Other,Attending
358,2019-04-03 00:27:00,Other,Attending
359,2019-04-03 09:01:00,Weill Cornell,Attending
360,2019-04-03 09:50:00,NYU,Checked In
361,2019-04-03 10:12:00,Non-academic Institution,Attending
362,2019-04-03 10:23:00,Mount Sinai,Attending
363,2019-04-03 10:29:00,Mount Sinai,Checked In
364,2019-04-03 10:32:00,Mount Sinai,Attending
365,2019-04-03 10:35:00,NYU,Checked In
366,2019-04-03 10:38:00,Mount Sinai,Checked In
367,2019-04-03 10:58:00,Mount Sinai,Attending
368,2019-04-03 11:11:00,NYU,Attending
369,2019-04-03 11:14:00,Mount Sinai,Checked In
370,2019-04-03 11:17:00,NYU,Attending
371,2019-04-03 11:47:00,Other,Checked In
372,2019-04-03 11:53:00,Mount Sinai,Checked In
373,2019-04-03 12:09:00,Mount Sinai,Checked In
374,2019-04-03 12:15:00,Other,Attending
375,2019-04-03 12:23:00,NYU,Attending
376,2019-04-03 12:28:00,CUNY,Checked In
377,2019-04-03 12:53:00,Non-academic Institution,Attending
378,2019-04-03 13:08:00,NYU,Checked In
379,2019-04-03 13:22:00,Mount Sinai,Attending
380,2019-04-03 13:33:00,NYU,Attending
381,2019-04-03 14:34:00,NYU,Attending
382,2019-04-03 15:04:00,Mount Sinai,Attending
383,2019-04-03 15:12:00,Einstein,Attending
384,2019-04-03 15:23:00,Weill Cornell,Checked In
385,2019-04-03 15:32:00,Weill Cornell,Checked In
386,2019-04-03 16:57:00,Einstein,Checked In
387,2019-04-03 21:30:00,NYU,Attending
388,2019-04-03 21:37:00,NYU,Attending
389,2019-04-04 09:39:00,NYU,Checked In
390,2019-04-04 12:05:00,Non-academic Institution,Attending
391,2019-04-04 16:07:00,Einstein,Attending
392,2019-04-04 18:51:00,Columbia,Checked In
393,2019-04-04 19:01:00,Columbia,Checked In
394,2019-04-04 19:03:00,Columbia,Checked In
395,2019-04-04 21:20:00,Non-academic Institution,Attending
396,2019-04-04 23:21:00,Columbia,Checked In
397,2019-04-05 07:49:00,Mount Sinai,Attending
398,2019-04-05 09:53:00,Mount Sinai,Checked In
399,2019-04-05 11:36:00,NYU,Attending
400,2019-04-05 13:50:00,CUNY,Checked In
401,2019-04-05 19:24:00,Mount Sinai,Attending
403,2019-04-06 14:09:00,Other,Attending
404,2019-04-06 18:26:00,Other,Attending
405,2019-04-07 14:05:00,NYU,Attending
406,2019-04-07 19:16:00,Non-academic Institution,Attending
407,2019-04-07 23:27:00,Other,Checked In
408,2019-04-08 10:21:00,NYU,Attending
409,2019-04-08 11:49:00,Non-academic Institution,Checked In
410,2019-04-08 16:31:00,CUNY,Checked In
411,2019-04-08 19:37:00,Columbia,Checked In
412,2019-04-08 19:39:00,Columbia,Attending
413,2019-04-08 23:40:00,Other,Attending
414,2019-04-09 09:26:00,Non-academic Institution,Checked In
415,2019-04-09 09:48:00,CUNY,Attending
416,2019-04-09 09:57:00,Mount Sinai,Checked In
417,2019-04-09 09:58:00,CUNY,Attending
418,2019-04-09 10:06:00,NYU,Attending
419,2019-04-09 10:10:00,Other,Attending
420,2019-04-09 10:15:00,Columbia,Checked In
421,2019-04-09 10:33:00,Non-academic Institution,Checked In
422,2019-04-09 10:44:00,NYU,Attending
423,2019-04-09 10:53:00,Mount Sinai,Attending
424,2019-04-09 10:53:00,Columbia,Checked In
425,2019-04-09 11:06:00,Einstein,Checked In
426,2019-04-09 11:27:00,Rutgers,Attending
428,2019-04-09 11:30:00,Other,Attending
429,2019-04-09 11:42:00,Columbia,Attending
430,2019-04-09 13:44:00,NYU,Checked In
431,2019-04-09 13:46:00,Columbia,Attending
432,2019-04-09 13:58:00,Einstein,Attending
433,2019-04-09 14:06:00,Weill Cornell,Checked In
434,2019-04-09 14:51:00,Other,Checked In
435,2019-04-09 15:34:00,Columbia,Attending
436,2019-04-09 15:49:00,Einstein,Checked In
437,2019-04-09 16:11:00,NYU,Checked In
438,2019-04-09 16:13:00,Einstein,Checked In
439,2019-04-09 16:17:00,NYU,Checked In
440,2019-04-09 16:22:00,Other,Attending
441,2019-04-09 17:35:00,CUNY,Attending
442,2019-04-09 18:40:00,Other,Checked In
443,2019-04-09 21:44:00,NYU,Checked In
444,2019-04-10 09:43:00,Non-academic Institution,Checked In
445,2019-04-10 10:18:00,Einstein,Checked In
446,2019-04-10 11:06:00,NYU,Checked In
447,2019-04-10 12:08:00,NYU,Attending
448,2019-04-10 12:12:00,NYU,Checked In
449,2019-04-10 12:12:00,NYU,Attending
450,2019-04-10 12:15:00,NYU,Attending
451,2019-04-10 12:23:00,NYU,Attending
452,2019-04-10 12:38:00,NYU,Attending
453,2019-04-10 12:51:00,NYU,Attending
454,2019-04-10 12:57:00,NYU,Checked In
455,2019-04-10 13:01:00,NYU,Attending
456,2019-04-10 13:04:00,NYU,Checked In
457,2019-04-10 13:09:00,NYU,Attending
458,2019-04-10 13:10:00,NYU,Attending
459,2019-04-10 13:17:00,NYU,Checked In
460,2019-04-10 13:32:00,NYU,Attending
461,2019-04-10 13:38:00,Einstein,Checked In
462,2019-04-10 13:52:00,NYU,Checked In
463,2019-04-10 14:05:00,MSKCC,Attending
464,2019-04-10 14:20:00,NYU,Attending
465,2019-04-10 14:33:00,NYU,Checked In
466,2019-04-10 15:05:00,Einstein,Attending
467,2019-04-10 15:16:00,NYU,Checked In
468,2019-04-10 15:40:00,NYU,Attending
469,2019-04-10 15:51:00,NYU,Attending
470,2019-04-10 15:54:00,NYU,Checked In
