,time,institution
352,2019-04-02 19:39:00,Columbia
353,2019-04-02 20:29:00,Mount Sinai
354,2019-04-02 22:36:00,Other
355,2019-04-02 23:44:00,Columbia
356,2019-04-03 00:12:00,Rutgers
357,2019-04-03 00:14:00,Other
358,2019-04-03 00:27:00,Other
359,2019-04-03 09:01:00,Weill Cornell
360,2019-04-03 09:50:00,NYU
361,2019-04-03 10:09:00,Mount Sinai
362,2019-04-03 10:12:00,Non-academic Institution
363,2019-04-03 10:23:00,Mount Sinai
364,2019-04-03 10:29:00,Mount Sinai
365,2019-04-03 10:32:00,Mount Sinai
366,2019-04-03 10:35:00,NYU
367,2019-04-03 10:38:00,Mount Sinai
368,2019-04-03 10:58:00,Mount Sinai
369,2019-04-03 11:11:00,NYU
370,2019-04-03 11:12:00,Non-academic Institution
371,2019-04-03 11:14:00,Mount Sinai
372,2019-04-03 11:17:00,NYU
373,2019-04-03 11:47:00,Other
374,2019-04-03 11:53:00,Mount Sinai
375,2019-04-03 12:09:00,Mount Sinai
376,2019-04-03 12:15:00,Other
377,2019-04-03 12:23:00,NYU
378,2019-04-03 12:28:00,CUNY
379,2019-04-03 12:53:00,Non-academic Institution
380,2019-04-03 13:08:00,NYU
381,2019-04-03 13:22:00,Mount Sinai
382,2019-04-03 13:33:00,NYU
383,2019-04-03 14:34:00,NYU
384,2019-04-03 15:04:00,Mount Sinai
385,2019-04-03 15:12:00,Einstein
386,2019-04-03 15:23:00,Weill Cornell
387,2019-04-03 15:32:00,Weill Cornell
388,2019-04-03 16:57:00,Einstein
389,2019-04-03 21:30:00,NYU
390,2019-04-03 21:37:00,NYU
391,2019-04-04 09:39:00,NYU
392,2019-04-04 12:05:00,Non-academic Institution
393,2019-04-04 16:07:00,Einstein
394,2019-04-04 18:51:00,Columbia
395,2019-04-04 19:01:00,Columbia
396,2019-04-04 19:03:00,Columbia
397,2019-04-04 21:20:00,Non-academic Institution
398,2019-04-04 23:21:00,Columbia
399,2019-04-05 07:49:00,Mount Sinai
400,2019-04-05 09:53:00,Mount Sinai
401,2019-04-05 11:36:00,NYU
402,2019-04-05 13:50:00,CUNY
403,2019-04-05 15:23:00,Non-academic Institution
404,2019-04-05 19:24:00,Mount Sinai
405,2019-04-06 10:51:00,Non-academic Institution
406,2019-04-06 14:09:00,Other
407,2019-04-06 18:26:00,Other
408,2019-04-07 14:05:00,NYU
409,2019-04-07 19:16:00,Non-academic Institution
410,2019-04-07 23:27:00,Other
411,2019-04-08 10:21:00,NYU
412,2019-04-08 11:49:00,Non-academic Institution
413,2019-04-08 16:31:00,CUNY
414,2019-04-08 19:37:00,Columbia
415,2019-04-08 19:39:00,Columbia
416,2019-04-08 23:40:00,Other
417,2019-04-09 09:26:00,Non-academic Institution
418,2019-04-09 09:48:00,CUNY
419,2019-04-09 09:57:00,Mount Sinai
420,2019-04-09 09:58:00,CUNY
421,2019-04-09 10:06:00,NYU
422,2019-04-09 10:10:00,Other
423,2019-04-09 10:15:00,Columbia
424,2019-04-09 10:33:00,Non-academic Institution
425,2019-04-09 10:44:00,NYU
426,2019-04-09 10:53:00,Mount Sinai
427,2019-04-09 10:53:00,Columbia
428,2019-04-09 11:06:00,Einstein
429,2019-04-09 11:27:00,Rutgers
430,2019-04-09 11:29:00,NYU
431,2019-04-09 11:30:00,Other
432,2019-04-09 11:42:00,Columbia
433,2019-04-09 13:44:00,NYU
434,2019-04-09 13:46:00,Columbia
435,2019-04-09 13:58:00,Einstein
436,2019-04-09 14:06:00,Weill Cornell
437,2019-04-09 14:51:00,Other
438,2019-04-09 15:34:00,Columbia
439,2019-04-09 15:49:00,Einstein
440,2019-04-09 16:11:00,NYU
441,2019-04-09 16:13:00,Einstein
442,2019-04-09 16:17:00,NYU
